epoch,train_loss,train_loss_cls,train_loss_mmd,trg_OA,trg_mIoU,src_OA,srg_mIoU,lr,trg_precision,src_precision,loss_mmd_list
49,1.2520584093481655,1.019092661198713,0.15531049672311642,0.12634645515080298,0.03468219190835953,0.6071061308308845,0.23319892585277557,0.0009970437297775702,0.16061390936374664,0.5509207844734192,"[0.017138957977294922, 0.01700568199157715, 0.01735067367553711, 0.017345011234283447]"
50,1.2175554515481277,0.9946988403938058,0.1485710750657616,0.3480183348309947,0.09397008270025253,0.6322247091076372,0.2965953052043915,0.0009969220851487844,0.15588240325450897,0.5639967918395996,"[0.07751941680908203, 0.0771256685256958, 0.07807445526123047, 0.07701218128204346]"
51,1.1951864279331046,0.9873437693355777,0.1385617726097152,0.2658428089214534,0.07183647900819778,0.6370681440630086,0.28866520524024963,0.000996798003498705,0.1673421412706375,0.5258731842041016,"[0.022157609462738037, 0.022460103034973145, 0.022301077842712402, 0.022233307361602783]"
52,1.1515911067913047,0.9355572469127376,0.1440225724069221,0.4632838961083846,0.07978809624910355,0.6231259040109571,0.32126903533935547,0.000996671486051967,0.13113903999328613,0.5104038715362549,"[0.012700259685516357, 0.012734472751617432, 0.012708306312561035, 0.01200556755065918]"
53,1.1269365115791348,0.9151572771810752,0.14118615624188813,0.11893519158544734,0.04419884458184242,0.6479027389618015,0.32115522027015686,0.0009965425340572472,0.1877107173204422,0.6204583644866943,"[0.045001447200775146, 0.045470476150512695, 0.04559791088104248, 0.04569190740585327]"
54,1.2629096425594168,1.0367921585873228,0.15074498877457693,0.30770424356581644,0.06157829985022545,0.5895152259966367,0.2392100840806961,0.0009964111487872494,0.12673386931419373,0.49750638008117676,"[0.025179624557495117, 0.02660810947418213, 0.026719391345977783, 0.026998162269592285]"
55,1.3360745073351172,1.1134310103336407,0.148428997038104,0.1721360106909979,0.05979245901107788,0.6177853878542646,0.2835855484008789,0.0009962773315386935,0.1744062304496765,0.5338103175163269,"[0.024638831615447998, 0.024457991123199463, 0.02459585666656494, 0.02418375015258789]"
56,1.1773649336457535,0.9554598715429329,0.14793670846779014,0.1252426499389415,0.04514572024345398,0.6356532379292484,0.32977986335754395,0.0009961410836323015,0.17967958748340607,0.5332983136177063,"[0.08089053630828857, 0.08067786693572998, 0.08162212371826172, 0.08270180225372314]"
57,1.1262620117506519,0.9202050226377257,0.13737132729649826,0.18522902698094515,0.07158491760492325,0.6480265654396306,0.3480691909790039,0.0009960024064127849,0.18617260456085205,0.5966314673423767,"[0.08686751127243042, 0.0864112377166748, 0.08675694465637207, 0.08730733394622803]"
58,1.1378533549906233,0.9215798562581939,0.1441823317367698,0.17357894979378355,0.06900133937597275,0.6443605915798882,0.322557270526886,0.0009958613012488325,0.18357664346694946,0.5603300333023071,"[0.07292777299880981, 0.07325214147567749, 0.07370907068252563, 0.07377678155899048]"
59,1.1481581781913766,0.9421828809077576,0.1373168656307473,0.18436643164904035,0.07443282008171082,0.65125493031321,0.36948004364967346,0.000995717769533095,0.1849801391363144,0.5888800024986267,"[0.09317797422409058, 0.09227728843688965, 0.09167957305908203, 0.09134352207183838]"
